Position,Annual Salary in Dollar,Date Hired
Sergeant,92394,1984
Sergeant,92394,1989
Sergeant,92394,1987
Sergeant,92387,1983
Sergeant,92387,1982
Sergeant,92387,1989
Sergeant,92387,1987
Detective Sergeant,92387,1990
Sergeant,92387,1985
Sergeant,92387,1990
Sergeant,92387,1988
Sergeant,92387,1989
Detective Sergeant,92387,1990
Sergeant,92387,1982
Sergeant,92387,1985
Sergeant,92387,1966
Sergeant,92387,1988
Sergeant,92387,1983
Sergeant,92387,1964
Sergeant,92387,1987
Sergeant,92387,1990
Sergeant,92387,1983
Sergeant,92387,1986
Sergeant,92387,1984
Detective Sergeant,92387,1988
Sergeant,92387,1991
Sergeant,92387,1983
Sergeant,92387,1984
Sergeant,92387,1990
Sergeant,92387,1984
Sergeant,92387,1981
Sergeant,92387,1986
Sergeant,92387,1979
Sergeant,92387,1991
Sergeant,92387,1990
Sergeant,92387,1985
Sergeant,92387,1990
Sergeant,92387,1984
Sergeant,92387,1987
Sergeant,92387,1990
Sergeant,92387,1988
Detective Sergeant,92387,1986
Sergeant,92387,1987
Sergeant,92387,1986
Sergeant,92387,1988
Sergeant,92387,1985
Sergeant,92387,1990
Sergeant,92387,1990
Sergeant,92387,1987
Sergeant,92387,1984
Sergeant,92387,1986
Sergeant,92387,1990
Sergeant,92387,1984
Sergeant,92387,1990
Sergeant,92387,1990
Sergeant,92387,1990
Sergeant,92387,1989
Sergeant,92387,1987
Sergeant,92387,1982
Sergeant,92387,1973
Sergeant,92387,1989
Sergeant,92387,1989
Sergeant,92387,1986
Sergeant,92387,1990
Sergeant,92387,1987
Sergeant,92387,1990
Sergeant,92387,1984
Sergeant,92387,1988
Sergeant,92387,1988
Sergeant,92387,1990
Officer,92387,1990
Sergeant,92387,1986
Sergeant,92387,1990
Sergeant,92387,1987
Sergeant,92387,1985
Sergeant,92387,1986
Sergeant,92387,1983
Sergeant,92387,1983
Sergeant,92387,1989
Sergeant,92387,1988
Sergeant,92387,1981
Sergeant,92387,1989
Sergeant,92387,1987
Sergeant,92387,1990
Sergeant,92387,1973
Sergeant,92387,1984
Sergeant,92387,1990
Sergeant,92387,1990
Sergeant,92387,1988
Sergeant,92387,1986
Sergeant,92387,1983
Sergeant,92387,1983
Sergeant,92387,1986
Sergeant,92387,1982
Detective Sergeant,92387,1986
Sergeant,92387,1990
Sergeant,92387,1989
Sergeant,92387,1989
Sergeant,92387,1988
Sergeant,92387,1978
Sergeant,92387,1986
Sergeant,92387,1989
Sergeant,92387,1985
Sergeant,92387,1990
Sergeant,92387,1989
Sergeant,92387,1989
Sergeant,92387,1989
Sergeant,92387,1988
Lieutenant,92387,1989
Sergeant,92387,1988
Sergeant,92387,1988
Sergeant,92387,1970
Sergeant,92387,1985
Sergeant,92387,1983
Sergeant,92387,1990
Sergeant,92387,1985
Sergeant,92387,1982
Sergeant,92387,1984
Sergeant,92387,1987
Sergeant,92387,1984
Sergeant,92387,1985
Sergeant,92387,1983
Sergeant Ert Personnel,92387,1986
Sergeant,92387,1985
Sergeant,92387,1990
Sergeant,92387,1985
Sergeant,92387,1972
Sergeant,92387,1985
Sergeant,92387,1989
Medical Records Tech,92372,1999
Auditor (tax),92372,2001
Principal,92362,2005
Deputy Associate Director,92200,2008
Assistant Principal,92198,2010
Assistant Principal,92198,2010
Assistant Principal,92198,2005
Assistant Principal,92198,2011
Assistant Principal,92198,2010
Assistant Principal,92198,1989
Assistant Principal,92198,2010
Assistant Principal,92198,2001
Assistant Principal,92198,1999
Assistant Principal,92198,2001
Assistant Principal,92198,1998
Assistant Principal,92198,2009
Sergeant,92150,1977
Parking Enforcement Off,92127,1976
Management Analyst,92114,2005
Director,92094,2010
Director,92094,2002
Director,92094,2010
Director,92094,2009
Director,92094,2008
Clinical Psychologist,92050,2008
Management Analyst,92048,1998
Management Analyst,92048,2008
Information Technology Specialist,92048,2010
Health Care Poilcy Analyst,92048,2011
Dir Of Marketing & Comm,92046,2009
"Manager, Diversity And Equity",92046,2007
Support Services Specialist,92010,2005
Service Coordinator,92000,1999
Fingerprint Specialist,92000,1994
Assoc Professor,92000,2004
Nurse Consultant,92000,2007
Nurse Consultant,92000,2007
Computer Specialist,92000,1987
Civil Engineer,92000,2001
Executive Director,92000,2008
Information Technology Specialist,91976,1972
Assistant Principal,91916,2010
Assistant Principal,91916,2010
Attorney Advisor,91906,2009
Ged Administrator,91905,2006
General Engineer,91872,1985
Teacher,91867,1994
Social Worker,91867,1999
Teacher,91867,1999
Teacher,91867,1993
Literacy Coach,91867,2006
Teacher,91867,2000
Teacher,91867,2002
Teacher,91867,1993
Teacher,91867,2001
Social Worker,91867,2003
Teacher,91867,2003
Teacher,91867,2008
Teacher,91867,2000
Literacy Coach,91867,2000
Teacher,91867,1998
Teacher,91867,2000
Teacher,91867,1992
Teacher,91867,2000
Teacher,91867,1997
Teacher,91867,1998
Teacher,91867,1996
Teacher,91867,1994
Teacher,91867,1994
Teacher,91867,1994
Teacher,91867,1992
Social Worker,91867,1998
Instructional Coach,91867,1994
Teacher,91867,1989
Teacher,91867,1989
Teacher,91867,1995
Teacher,91867,1994
Teacher,91867,2001
Teacher,91867,1994
Counselor,91867,2000
Teacher,91867,2000
"Allen Brent Teacher,special Ed (et)",91867,2001
Teacher,91867,1992
"Stephanie Teacher,middle School",91867,1998
Teacher,91867,2003
Teacher,91867,2002
Teacher,91867,1994
Teacher,91867,2000
Teacher,91867,1999
Teacher,91867,1999
Teacher,91867,1993
Teacher,91867,1994
Teacher,91867,1994
Teacher,91867,1990
Teacher,91867,2003
Social Worker,91867,2000
Teacher,91867,2004
Teacher,91867,1998
Teacher,91867,1993
Teacher,91867,1996
Teacher,91867,2005
Teacher,91867,1997
Teacher,91867,1994
Teacher,91867,2006
Teacher,91867,1995
Social Worker,91867,1999
Teacher,91867,1998
Teacher,91867,1994
Teacher,91867,1991
Teacher,91867,1993
Teacher,91867,2000
Teacher,91867,1991
Teacher,91867,1992
Teacher,91867,1997
Teacher,91867,1996
Teacher,91867,1998
Teacher,91867,1984
Teacher,91867,2002
Teacher,91867,2006
Teacher,91867,1997
Teacher,91867,2003
Teacher,91867,2002
Teacher,91867,2008
Teacher,91867,2003
Teacher,91867,1997
Social Worker,91867,1999
Teacher,91867,2004
Teacher,91867,1994
Teacher,91867,2003
Teacher,91867,1999
Teacher,91867,1985
Instructional Coach,91867,1992
Teacher,91867,1992
Teacher,91867,1997
Teacher,91867,1994
"Educ Program Spec-hea,pe&ath",91867,2000
Teacher,91867,1999
Teacher,91867,1997
Teacher,91867,1993
Social Worker,91867,1989
Teacher,91867,1998
Teacher,91867,1994
Librarian,91867,2003
Teacher,91867,1986
Teacher,91867,1999
Teacher,91867,1994
Teacher,91867,1997
Teacher,91867,1999
Teacher,91867,2000
Teacher,91867,2002
Teacher,91867,2005
Speech Pathologist,91867,2003
Teacher,91867,1997
Teacher,91867,1993
Teacher,91867,1990
Teacher,91867,2003
Teacher,91867,2001
Teacher,91867,1993
Teacher,91867,1992
Literacy Coach,91867,2006
Engineering Techni,91826,2008
Performance Improve Advisor,91708,2005
Human Resources Spec Class,91695,2000
Executive Assistant,91695,2001
Unit Manager,91695,2008
Taxpayer Info Supv,91695,1977
Accountant,91695,1997
Budget Analyst,91695,2005
Budget Analyst,91695,1989
Chief Of Lottery Draw,91695,1989
Strategic Development Speciali,91695,2004
Revenue Officer,91695,1985
Planning Research Program Mana,91686,2006
Social Worker,91671,1998
School Primary Project Manager,91671,1983
Resource Specialis,91627,2004
Public Space Manager,91599,2005
"Instructor, jrotc",91547,1999
Program Manager,91423,1999
Unclaimed Property Tech,91346,2009
Attorney Advisor,91346,2008
Contract Specialist,91346,2008
Appraiser,91346,2009
Accountant,91346,2005
Grants Manager,91346,2009
Deputy Recorder Of Deeds,91346,2009
Returns Processing,91346,1986
Human Resources Specialist,91346,1995
Accounting Manager,91346,2009
Program Analyst,91346,2009
Accounting Officer,91346,2006
Financial Manager,91346,2004
Financial Manager,91346,2005
Financial Manager,91346,2005
Accounts Payable Manager,91346,2007
Grant Analyst,91346,2001
Attorney Advisor,91274,2002
Social Work Program Manager,91224,1993
Social Work Program Manager,91224,1994
Law Enforcement Analyst,91196,2006
Captain,91186,1996
Assistant Principal,91181,2009
Assistant Principal,91181,2009
Assistant Principal,91181,2010
Assistant Principal,91181,2006
Battalion Ems Supervisor (capt,91108,2004
Battalion Ems Supervisor (capt,91108,2000
Battalion Ems Supervisor (capt,91108,1996
Battalion Ems Supervisor (capt,91108,2002
Battalion Ems Supervisor (capt,91108,2002
Battalion Ems Supervisor (capt,91108,1998
Battalion Ems Supervisor (capt,91108,2002
Battalion Ems Supervisor (capt,91108,2002
Professor,91093,1979
Professor,91093,1975
Professor,91093,2003
Human Srvs Program Manager,91082,1981
Information Technology Specialist,91082,2003
Captain,91012,1992
Battalion Ems Supvr (capt),91012,1996
Captain,91012,1992
Battalion Ems Supvr (capt),91012,1995
Battalion Ems Supvr (capt),91012,1993
Captain,91012,1991
Battalion Ems Supvr (capt),91012,1994
Captain,91012,1990
Social Work Program Manager,91000,1994
Civil Engineer,91000,2007
"Instructor, jrotc",90995,1996
Quality Improvement Spe,90930,2011
Principal,90909,1992
Teacher,90864,2001
Teacher,90824,1996
"Therapist,art",90824,2005
Librarian,90824,1990
Teacher,90824,1995
Teacher,90824,1993
Teacher,90824,1997
Teacher,90824,2006
Teacher,90824,1997
Teacher,90824,2003
Teacher,90824,1999
Teacher,90824,1997
Teacher,90824,1998
Teacher,90824,1995
Teacher,90824,1996
Teacher,90824,2004
Teacher,90824,2004
Teacher,90824,2003
Teacher,90824,1999
Teacher,90824,1995
Teacher,90824,1994
Teacher,90824,1999
Teacher,90824,1972
Teacher,90824,2004
Teacher,90824,1998
Teacher,90824,2000
Teacher,90824,1994
Teacher,90824,1996
Teacher,90824,1995
Teacher,90824,1992
Teacher,90824,2004
Teacher,90824,2001
Teacher,90824,2003
Teacher,90824,1995
Teacher,90824,1987
Teacher,90824,1995
Teacher,90824,1995
Teacher,90824,1999
Teacher,90824,1998
Teacher,90824,1995
Teacher,90824,1999
Teacher,90824,1995
Teacher,90824,2009
Teacher,90824,1973
Teacher,90824,1999
Teacher,90824,1988
Instructional Coach,90824,1999
Teacher,90824,1995
Pupil Personnel Worker,90824,2001
Teacher,90824,1993
Language Coach,90824,2005
Teacher,90824,1995
Teacher,90824,1988
Teacher,90824,2002
Teacher,90824,1987
Teacher,90824,1998
Teacher,90824,2003
Teacher,90824,2001
Teacher,90824,1993
Teacher,90824,2001
Teacher,90824,2003
Teacher,90824,2004
Teacher,90824,2001
Teacher,90824,1996
Parent Partnership Offcr,90818,2007
Program Analyst,90818,1982
Project Manager,90818,2006
Program Manager,90818,2003
Project Manager,90818,2008
Operation Specialist,90818,2009
Project Manager,90818,2006
Program Manager,90818,2005
Social Worker,90806,2007
Social Worker,90806,2006
Supervisor,90797,1986
Policy Analyst,90778,2006
Medical Officer (psychiatry),90773,1998
Facility Management And Suppor,90666,1985
Workers Compensation Recipient,90656,1969
Invest,90561,1999
Telecommications Specialist,90559,1994
Critical Infrastructure Specialist,90559,2008
Criminal Investigator,90559,2009
Auditor,90559,2006
Developdevelopment Review Specialist,90559,2008
Community Planner(transportati,90559,2008
Special Assistant,90559,2007
Auditor,90559,2006
Telecommications Specialist,90559,2007
Information Technology Specialist,90559,2004
Information Technology Specialist,90559,2008
Information Technology Specialist,90559,2008
Information Technology Specialist,90559,2008
Information Technology Specialist,90559,2008
Information Technology Specialist,90559,1995
Labor Relations Advisor,90559,2004
Information Technology Specialist,90559,2008
Management Analyst,90559,1998
Electronics Technician,90559,2008
Performance Improve Advisor,90559,2005
Labor & Employee Rel Liaison,90559,2008
Information Technology Specialist,90559,1999
Legislative Officer,90559,2005
Operations Manager,90559,2002
Legislative Affairs Specialist,90559,2008
Gis Spec (spat Data Sys/gis),90559,1989
Administrative Law Judge,90559,2006
Administrative Law Judge,90559,1995
Accountant,90559,2003
Management Program Analyst,90559,1981
Accountability Coordinator,90559,2008
Special Assistant,90559,2008
Program Dev & Curriculum Coordina,90559,2009
Contract Specialist,90559,2008
Project Coordinator,90559,1999
Special Assistant,90559,1993
Program Analyst,90559,2000
Hearing Examiner,90559,1980
Fatality Review Program Sp,90559,2005
Financial Analyst,90559,2002
Contracting Officer,90559,2001
Program Analyst,90559,2008
Effectiveness Manager (rttt),90559,2011
Project Director,90537,2003
Clinical Psychologist,90537,2003
Chief Of Continuity Of Care,90537,2005
Dir Of Consumer &,90537,2008
Psychiatric Nurse,90537,1997
Service Coordinator,90515,2005
Education Training Coor,90474,2005
Project Coordinator,90474,2007
Program Analyst,90474,1994
Information Technology Specialist,90474,2007
Green Building Coordinator,90474,1991
Human Resources Spec (employee,90474,1983
Human Resources Spec Class,90474,2000
Project Manager,90474,2009
Investigator,90474,2002
Intrgovtmntl Affairs Specialist,90474,2001
Training Coor,90474,2005
Program Analyst,90474,2001
Management Analyst,90474,1978
Information Technology Specialist,90474,2007
Human Resource Specialist (emp,90474,1993
Engineer,90474,1982
Information Technology Specialist,90474,2003
Program Analyst,90474,1980
Human Resources Specialist,90474,2007
Information Technology Specialist,90474,2005
Human Resources Spec Class,90474,2006
Social Work Program Manager,90397,1996
Appraiser,90369,2002
Research & Info Specialist,90369,2002
Planning Specialist,90369,2007
Contract Specialist,90369,1970
Systems Accountant,90369,2005
Auditor (tax),90369,1993
Auditor (tax),90369,1992
Appraiser,90369,2005
Appraiser,90369,1985
Appraiser,90369,2004
Insurance Examiner,90369,1994
Environmental Engineer,90369,1993
Contract Specialist,90369,1976
Environmental Engineer,90369,1990
Information Technology Specialist,90369,2005
Support Services Specialist,90369,1993
Contract Specialist,90369,1990
Contract Specialist,90369,1978
Environmental Engineer,90369,1993
Hearing Examiner,90369,1995
Hearing Examiner,90369,1988
Hearing Examiner,90369,2003
Information Technology Specialist,90369,2004
Hearing Examiner,90369,2002
Hearing Examiner,90369,2001
Hearing Examiner,90369,1991
Hearing Examiner,90369,2002
Hearing Examiner,90369,1997
Public Health Analyst,90369,2003
Contract Specialist,90369,1978
Training Specialist,90369,2001
Rental Property Program Specialist,90369,2007
Information Technology Specialist,90369,2007
Editing Systems Specialist,90369,2006
Videographer,90369,1999
Program Analyst,90369,1993
Homeownership Program Speciali,90369,1989
Management Analyst,90369,1997
Actuary,90369,2003
Rental Property Program Specialist,90369,1979
Information Technology Specialist,90369,2004
Information Technology Specialist,90369,1990
Civil Engineer,90369,2003
Environmental Specialist,90369,2000
Contract Specialist,90369,2007
Rental Property Program Specialist,90369,2003
Civil Engineer,90369,1990
Information Technology Specialist,90369,1999
Civil Engineer,90369,1989
Civil Engineer,90369,1989
Quality Assessment Specialist,90369,2002
Compliance Specialist,90369,1987
Clinic Manager,90369,1992
Information Technology Specialist,90369,2000
Electrical Engineer,90369,2000
Program Monitor,90369,1990
Management Analyst,90369,2007
Psychiatric Nurse,90366,2008
"Instructor, jrotc",90359,1996
Correctional Program Specialist,90346,1968
Nurse Practitioner,90346,1992
Supervisor Support Enforcemnt,90333,1981
Chief Of Staff,90321,2007
Legislative Counsel,90321,2008
Lieutenant,90291,1992
Lieutenant,90291,1991
Lieutenant,90291,1990
Lieutenant,90291,1992
Program Analyst,90290,1992
"Instructor, jrotc",90245,2006
Professor,90232,1970
Administrative Officer,90223,2004
Human Srvs Program Manager,90222,1980
Police Officer,90222,1994
Vocational Rehabil,90222,1978
Hlth Physicist,90222,1997
Social Worker,90222,1993
Financial Examiner Ins,90158,2000
Assistant Principal,90150,2010
Clinical Psychologist,90110,2008
Director,90072,2009
Director,90072,2006
Dir Hlth Cert License Program,90072,1994
Dir Of The Ctr For Wf Str & Ec,90072,2001
Contract Specialist,90000,1999
